latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
40.94469,31.39706,306.92,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,286.83,1.57,N
41.07066,28.57531,299.31,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,286.98,0.47,N
41.01976,28.55243,303.36,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,290.16,1.26,N
41.01907,28.55694,312.57,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,291.92,1.26,N
41.66625,23.24927,301.7,0.55,0.43,2025-06-24,0001,N21,nominal,2.0NRT,289.18,0.92,N
40.757,29.75851,305.94,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,292.47,1.24,N
40.77945,29.60002,304.93,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,293.38,1.49,N
40.80336,29.36742,303.02,0.38,0.36,2025-06-24,0001,N21,nominal,2.0NRT,292.51,0.79,N
39.94235,33.1914,296.74,0.48,0.4,2025-06-24,0001,N21,nominal,2.0NRT,286.51,1.59,N
41.84864,15.30942,305.35,0.47,0.64,2025-06-24,0001,N21,nominal,2.0NRT,291.14,1.12,N
41.83702,15.30351,307.1,0.47,0.64,2025-06-24,0001,N21,nominal,2.0NRT,291.27,1.36,N
41.7869,15.25985,315.93,0.47,0.64,2025-06-24,0001,N21,nominal,2.0NRT,291.7,2.22,N
41.78099,15.25945,329.6,0.47,0.64,2025-06-24,0001,N21,nominal,2.0NRT,291.24,3.43,N
41.75701,15.26917,302.39,0.47,0.64,2025-06-24,0001,N21,nominal,2.0NRT,290.7,0.8,N
40.24247,29.92405,307.2,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,289.43,1.24,N
41.72599,15.19647,303.67,0.47,0.64,2025-06-24,0001,N21,nominal,2.0NRT,289.74,0.59,N
40.33654,29.13709,304.42,0.38,0.36,2025-06-24,0001,N21,nominal,2.0NRT,289.37,0.86,N
41.53621,15.74156,300.42,0.44,0.63,2025-06-24,0001,N21,nominal,2.0NRT,289.48,0.97,N
39.83538,30.30198,301.01,0.4,0.37,2025-06-24,0001,N21,nominal,2.0NRT,286.17,1.03,N
39.48448,30.042,310.23,0.39,0.37,2025-06-24,0001,N21,nominal,2.0NRT,286.83,1.59,N
40.28392,23.44385,302.86,0.52,0.41,2025-06-24,0001,N21,nominal,2.0NRT,292.39,0.99,N
39.86593,26.24266,333.42,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,296.25,4.55,N
40.63025,18.00002,302.94,0.33,0.55,2025-06-24,0001,N21,nominal,2.0NRT,291.04,0.72,N
39.60897,27.87771,302.8,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,290.68,0.54,N
40.27682,18.02464,304.21,0.33,0.55,2025-06-24,0001,N21,nominal,2.0NRT,287.01,0.53,N
40.25471,18.13339,303.96,0.32,0.55,2025-06-24,0001,N21,nominal,2.0NRT,287.63,0.66,N
40.08319,19.77047,304.98,0.52,0.5,2025-06-24,0001,N21,nominal,2.0NRT,293.19,0.97,N
40.07864,19.76935,306.95,0.52,0.5,2025-06-24,0001,N21,nominal,2.0NRT,292.98,1.45,N
40.08314,19.76993,304.07,0.52,0.5,2025-06-24,0001,N21,nominal,2.0NRT,293.05,1.1,N
40.0786,19.76886,305.29,0.52,0.5,2025-06-24,0001,N21,nominal,2.0NRT,292.71,1.1,N
39.16784,27.63145,314.65,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,294.23,1.34,N
39.09336,27.51367,303.38,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,293.14,0.83,N
39.09007,27.5129,307.24,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,292.67,0.92,N
39.98484,18.09325,305.5,0.32,0.55,2025-06-24,0001,N21,nominal,2.0NRT,291.04,0.95,N
39.98488,18.0944,304.53,0.32,0.55,2025-06-24,0001,N21,nominal,2.0NRT,290.05,0.92,N
39.90762,18.19759,311.58,0.63,0.54,2025-06-24,0001,N21,nominal,2.0NRT,288.05,1.97,N
37.93816,32.53186,302.36,0.48,0.4,2025-06-24,0001,N21,nominal,2.0NRT,289.44,0.75,N
38.75201,26.936,317.44,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,294.7,1.73,N
38.74678,26.9486,310.35,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,294.41,1.38,N
38.74361,26.95,309.15,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,295.62,1.21,N
38.7429,26.93137,307.93,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,294.13,0.88,N
38.7403,26.94922,311.73,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,297.14,1.21,N
38.73765,26.94399,330.79,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,296.71,2.5,N
38.7396,26.9306,310.38,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,296.2,1.78,N
38.737,26.94845,314.59,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,296.93,2.5,N
38.72902,26.93276,307.29,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,293.52,0.96,N
38.55317,27.81581,299.5,0.38,0.36,2025-06-24,0001,N21,nominal,2.0NRT,288.35,0.51,N
37.89754,30.49194,303.88,0.41,0.37,2025-06-24,0001,N21,nominal,2.0NRT,289.55,1.24,N
38.42494,27.21705,316.32,0.39,0.36,2025-06-24,0001,N21,nominal,2.0NRT,297.01,1.87,N
36.86838,34.76421,307.98,0.43,0.46,2025-06-24,0001,N21,nominal,2.0NRT,296.03,1.89,N
